發癢,會癢,想抓,抓癢
皮疹,起疹子,紅斑
結節性皮疹,四肢會起疹
斑疹傷寒,黑色斑點狀皮疹
充滿膿包的丘疹,有膿的青春痘
黑頭粉刺,黑頭粉刺
脫皮,脫皮
水泡,水泡
鼻子周圍的紅瘡,鼻子周圍發紅
黃色的痂,黃色的痂
變色班,皮膚一小塊變紅,變白,變褐色
發抖,突然抽蓄,手腳不自然抖動
寒意,感到寒冷,身體發冷
關節疼痛,關節痛
胃痛,上腹部疼痛,上腹部不舒服,上腹部不適
消化不良,上腹部不適,上腹部不舒服
腹痛(abdominal pain),肚子痛,肚子不舒服,肚子不適
胃部腫脹,肚子腫脹,腹部腫脹
飢餓過度,肚子餓
腹痛(belly_pain),肚子痛,肚子不舒服,肚子不適
食慾增加,缺乏飽足感,食慾過剩,感到飢餓
胃出血,吐血（咖啡色渣,暗紅色或鮮紅色嘔吐物）,黑便（像瀝青般黑色,有臭味的黏稠大便）
腹部脹氣,打嗝,放屁,下腹部劇烈刺痛感或痙攣,腹部腫脹,腹部明顯鼓起
口潰瘍,口腔紅腫,長出水泡,嘴巴破洞白色凹陷
喉嚨腫塊,喉嚨痛,喉嚨發炎
咳嗽,咳嗽
淋巴結腫脹,喉嚨痛
喉嚨發炎,喉嚨痛,喉嚨不舒服
黏液性痰,濃稠痰
銹色痰,鐵紅色的痰
血痰,血痰
肌肉萎縮,肢體近端無力,無感覺症狀
手腳冰冷,四肢冰冷
肢體無力,肢體無力
痙攣,肌肉快速收縮,抽筋
腿部腫脹,腿部水腫
肢體腫脹,四肢水腫
膝關節疼痛,膝關節疼痛
髖關節疼痛,髖關節疼痛
肌肉無力,肌肉疲勞
關節腫脹,關節腫脹
運動僵硬,動作不靈活,肌肉緊繃
肌肉疼痛,肌肉痠痛
小腿靜脈曲張,腳部無力,疼痛,沉重,睡覺時腳抽筋
嘔吐,反胃,噁心
噁心,反胃,嘔吐
食慾不振,沒胃口,吃不下飯
灼熱感排尿,排尿疼痛,排尿刺痛
黃色尿液,黃色尿液
深色尿液,尿液的顏色異常
惡臭的尿液,尿臭味很重,尿騷味重
疲勞,精神恍惚,精神不濟,很累
體重增加,體重上升,變胖,變重
體重減少,體重下降,變瘦,變輕
肥胖,過重,過胖
焦慮,容易擔心害怕,心神不定
情緒起伏,情緒不穩定
煩躁,過度敏感
嗜睡,過長時間的睡眠,一直都很想睡覺,容易感到疲勞
抑鬱,心情低落,經常生氣,發脾氣,過分內疚,自責
易怒,容易生氣,暴躁
缺乏專注力,注意力不集中,容易分心
不正常的血糖,血糖過高,血糖過低
高燒,高燒
頭痛,頭疼
低燒,低燒
發熱,體溫升高
眩暈,站不穩,天旋地轉,走路顛簸無法平衡
失衡,站不穩,天旋地轉,走路顛簸無法平衡
昏迷,對外界刺激沒反應
眼睛凹陷,眼窩凹陷
眼痛,眼睛疼痛
眼睛發黃,眼白泛黃
視力模糊,看不清楚,視線霧霧的,視野扭曲
眼睛發紅,眼白出現血紅色,眼睛充血
流眼淚,流眼淚
視覺障礙,視力受限,視野缺損,怕光,夜盲
窒息,呼吸困難,呼吸受阻,無法呼吸
流汗,流汗
脫水,嘴唇乾裂,口乾舌燥,排尿量減少
皮膚發黃,膚色異常
背部疼痛,腰痠背痛
便祕,排便不順,便硬,大便乾結,排便要很用力
排便疼痛,排便疼痛
肛門部位疼痛,屁股疼痛
血便,排便有血,黑色的糞便
急性肝衰竭,疲憊無力,食慾不振,噁心,嘔吐,胃痛,茶色尿,皮膚變黃,下肢水腫,肝昏迷
體液過多,皮膚水腫,不易覺得口渴
流鼻水,鼻涕
連續打噴嚏,鼻子過敏
胸部疼痛,胸部疼痛
心悸,心跳不正常加快或變慢,心律不整
心跳加速,心跳過快
頸部疼痛,脖子痛,後頸痛
頸部僵硬,脖子僵硬,後頸僵硬
瘀青,內出血
血管腫脹,血管腫脹
臉部浮腫,面部水腫
甲狀腺腫脹,脖子下方有腫脹,喉嚨腫脹
脆性指甲,指甲容易斷裂,剝落
指甲發炎,指甲兩側(甲溝)紅,腫,痛,化膿,
嘴唇乾燥刺痛,嘴唇脫皮,刺痛
口齒不清,大舌頭,說話不流利,含滷蛋
喪失嗅覺,聞不出東西,嗅覺變得不敏感
膀胱不適,膀胱疼痛,膀胱不舒服
連續的尿液感,頻繁的上廁所,頻尿,容易有尿意
多尿,尿液量多,排尿量大
點滴式排尿,小便不順,出尿量很少
放屁,脹氣
月經失調,月經不規律
